,NumberOfFatomsOnSameCarbon,NMR_Peak,SMILES,Compound name,Sovelnt_used_for_NMR
8_alcohols_14,2,-122.7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
10_alcohols_14,2,-122.7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
11_alcohols_14,22,-122.7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
13_alcohols_14,2,-122.7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
14_alcohols_14,2,-122.7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
16_alcohols_14,2,-122.7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
17_alcohols_14,2,-122.7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
19_alcohols_14,2,-122.85,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
20_alcohols_14,2,-122.85,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
22_alcohols_14,2,-123.7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
23_alcohols_14,2,-123.7,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
25_alcohols_14,2,-124.75,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
26_alcohols_14,2,-124.75,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
28_alcohols_14,2,-127.27,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
29_alcohols_14,2,-127.27,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
31_alcohols_14,3,-82.36,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
32_alcohols_14,3,-82.36,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
33_alcohols_14,3,-82.36,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10:2 Fluorotelomer alcohol,CD3OD
7_other_10,2,-116.42,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
8_other_10,2,-116.42,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
10_other_10,2,-122.93,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
11_other_10,2,-122.93,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
13_other_10,2,-123.9,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
14_other_10,2,-123.9,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
16_other_10,2,-124.51,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
17_other_10,2,-124.51,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
19_other_10,2,-127.34,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
20_other_10,2,-127.34,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
22_other_10,3,-82.43,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
23_other_10,3,-82.43,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
24_other_10,3,-82.43,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctanephosphonic acid,CD3OD
7_other_11,2,-116.4,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
8_other_11,2,-116.4,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
10_other_11,2,-122.69,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
11_other_11,2,-122.69,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
13_other_11,2,-122.83,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
14_other_11,2,-122.83,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
16_other_11,2,-122.83,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
17_other_11,2,-122.83,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
19_other_11,2,-122.83,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
20_other_11,2,-122.83,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
22_other_11,2,-122.83,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
23_other_11,2,-122.83,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
25_other_11,2,-123.69,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
26_other_11,2,-123.69,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
28_other_11,2,-124.45,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
29_other_11,2,-124.45,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
31_other_11,2,-127.26,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
32_other_11,2,-127.26,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
34_other_11,3,-82.36,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
35_other_11,3,-82.36,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
36_other_11,3,-82.36,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorododecylphosphonic acid,CD3OD
5_other_12,2,-115.11,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
6_other_12,2,-115.11,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
8_other_12,2,-121.33,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
9_other_12,2,-121.33,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
11_other_12,2,-122.7,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
12_other_12,2,-122.7,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
14_other_12,2,-122.91,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
15_other_12,2,-122.91,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
17_other_12,2,-123.7,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
18_other_12,2,-123.7,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
20_other_12,2,-123.7,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
21_other_12,2,-123.7,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
23_other_12,2,-127.29,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
24_other_12,2,-127.29,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
26_other_12,3,-82.37,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
27_other_12,3,-82.37,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
28_other_12,3,-82.37,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro-1-octanesulfonamide,CD3OD
10_other_13,2,-113.75,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
11_other_13,2,-113.75,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
13_other_13,2,-121.4,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
14_other_13,2,-121.4,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
16_other_13,2,-122.59,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
17_other_13,2,-122.59,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
19_other_13,2,-122.72,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
20_other_13,2,-122.72,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
22_other_13,2,-122.89,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
23_other_13,2,-122.89,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
25_other_13,2,-123.71,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
26_other_13,2,-123.71,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
28_other_13,2,-127.27,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
29_other_13,2,-127.27,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
31_other_13,3,-82.36,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
32_other_13,3,-82.36,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
33_other_13,3,-82.36,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-methyl perfluorooctanesulfonamidoacetic acid,CD3OD
11_other_14,2,-114,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
12_other_14,2,-114,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
14_other_14,2,-121.29,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
15_other_14,2,-121.29,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
17_other_14,2,-122.58,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
18_other_14,2,-122.58,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
20_other_14,2,-122.73,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
21_other_14,2,-122.73,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
23_other_14,2,-122.89,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
24_other_14,2,-122.89,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
26_other_14,2,-123.71,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
27_other_14,2,-123.71,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
29_other_14,2,-127.26,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
30_other_14,2,-127.26,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
32_other_14,3,-82.37,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
33_other_14,3,-82.37,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
34_other_14,3,-82.37,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-ethyl perfluorooctanesulfonamidoacetic acid,CD3OD
0_From_Review_1,1,-220,FCCCl,1-Chloro-2-fluoroethane,CDCl3
2_From_Review_2,1,-212,CCF,fluoroethane,CDCl3
4_From_Review_3,1,-219,CCCCF,1-fluorobutane,CDCl3
4_From_Review_4,2,-116,CCCC(F)F,"1,1-difluorobutane",CDCl3
5_From_Review_4,2,-116,CCCC(F)F,"1,1-difluorobutane",CDCl3
4_From_Review_5,3,-68,CCCC(F)(F)F,"1,1,1-trifluorobutane",CDCl3
5_From_Review_5,3,-68,CCCC(F)(F)F,"1,1,1-trifluorobutane",CDCl3
6_From_Review_5,3,-68,CCCC(F)(F)F,"1,1,1-trifluorobutane",CDCl3
0_From_Review_6,1,-206,FCc1ccccc1,(fluoromethyl)benzene,CDCl3
0_From_Review_7,2,-115,FC(F)c1ccccc1,(difluoromethyl)benzene,CDCl3
2_From_Review_7,2,-115,FC(F)c1ccccc1,(difluoromethyl)benzene,CDCl3
0_From_Review_8,3,-63,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,CDCl3
2_From_Review_8,3,-63,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,CDCl3
3_From_Review_8,3,-63,FC(F)(F)c1ccccc1,(trifluoromethyl)benzene,CDCl3
2_From_Review_9,3,-65,CC(F)(F)F,"1,1,1-trifluoroethane",CDCl3
3_From_Review_9,3,-65,CC(F)(F)F,"1,1,1-trifluoroethane",CDCl3
4_From_Review_9,3,-65,CC(F)(F)F,"1,1,1-trifluoroethane",CDCl3
0_From_Review_10,3,-33,FC(F)(F)Cl,chlorotrifluoromethane,CDCl3
2_From_Review_10,3,-33,FC(F)(F)Cl,chlorotrifluoromethane,CDCl3
3_From_Review_10,3,-33,FC(F)(F)Cl,chlorotrifluoromethane,CDCl3
0_From_Review_11,3,-21,FC(F)(F)Br,bromotrifluoromethane,CDCl3
2_From_Review_11,3,-21,FC(F)(F)Br,bromotrifluoromethane,CDCl3
3_From_Review_11,3,-21,FC(F)(F)Br,bromotrifluoromethane,CDCl3
0_From_Review_12,2,-68,FC(F)I,difluoroiodomethane,CDCl3
2_From_Review_12,2,-68,FC(F)I,difluoroiodomethane,CDCl3
0_From_Review_13,2,-70,FC(F)Br,bromodifluoromethane,CDCl3
2_From_Review_13,2,-70,FC(F)Br,bromodifluoromethane,CDCl3
0_From_Review_14,2,-73,FC(F)Cl,chlorodifluoromethane,CDCl3
2_From_Review_14,2,-73,FC(F)Cl,chlorodifluoromethane,CDCl3
0_From_Review_15,3,-78,FC(F)F,fluoroform,CDCl3
2_From_Review_15,3,-78,FC(F)F,fluoroform,CDCl3
3_From_Review_15,3,-78,FC(F)F,fluoroform,CDCl3
2_From_Review_16,2,-110,CC(F)F,"1,1-difluoroethane",CDCl3
3_From_Review_16,2,-110,CC(F)F,"1,1-difluoroethane",CDCl3
0_From_Review_17,1,-169,FCCl,chlorofluoromethane,CDCl3
0_From_Review_18,1,-191,FCI,fluoroiodomethane,CDCl3
1_From_Review_19,1,-268,CF,fluoromethane,CDCl3
0_From_Review_20,2,-148,FCF,difluoromethane,CDCl3
2_From_Review_20,2,-148,FCF,difluoromethane,CDCl3
0_From_Review_21,1,-127.9,F/C=C\Cl,(Z)-1-chloro-2-fluoroethene,CDCl3
6_From_Review_22,1,-226,CCC(CC)CF,3-(fluoromethyl)pentane,CDCl3
5_From_Review_23,1,-223,CC(C)(C)CF,"1-fluoro-2,2-dimethylpropane",CDCl3
0_From_Review_24,1,-208,FCC1CC1,(fluoromethyl)cyclopropane,CDCl3
3_From_Review_25,1,-189,CCC(F)C(C)C,3-fluoro-2-methylpentane,CDCl3
3_From_Review_26,1,-165,CC(C)F,2-fluoropropane,CDCl3
0_From_Review_27,1,-175,FC1CCCCC1,fluorocyclohexane,CDCl3
0_From_Review_28,1,-171,FC1CCCC1,fluorocyclopentane,CDCl3
0_From_Review_29,1,-160,FC1CCC1,fluorocyclobutane,CDCl3
0_From_Review_30,1,-213,FC1CC1,fluorocyclopropane,CDCl3
3_From_Review_31,1,-156,CCC(F)(CC)CC,3-ethyl-3-fluoropentane,CDCl3
2_From_Review_32,1,-135,CC1(F)CCCC1,1-fluoro-1-methylcyclopentane,CDCl3
0_From_Review_33,1,-212,FCCBr,1-bromo-2-fluoroethane,CDCl3
0_From_Review_34,1,-226,FCCF,"1,2-difluoroethane",CDCl3
3_From_Review_34,1,-226,FCCF,"1,2-difluoroethane",CDCl3
4_From_Review_35,1,-210,CC(Br)CF,2-bromo-1-fluoropropane,CDCl3
